"metric","value"
"apps_tested","3 (auth, checkout, settings)"
"subject_variants","15"
"clean_variants","3"
"faulty_variants","12"
"faults_injected","12"
"states_discovered","163"
"transitions_discovered","340"
"traces_explored","332"
"bugs_detected","12"
"false_positives_clean_variants","0"
"relational_violations","36"
"structural_baseline_detections","3"
"visual_baseline_detections","0"
"runtime_ms","170664"
"runtime_seconds","170.66"
